Customer,State,Customer Lifetime Value,Response,Coverage,Coverage Index,Education,Education Index,Effective To Date,Employment Status,Employment Status Index,Gender,Income,Location,Location Index,Marital Status,Marital Status Index,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy Type Index,Policy,Policy Index,Renew Offer Type,Sales Channel,Sales Channel Index,Total Claim Amount,Vehicle Class,Vehicle Class Index,Vehicle Size,Vehicle Size Index
OH83248,California,11419.02,No,Premium,2,Master,3,1/1/2024,Employed,1,M,77482,Urban,2,Married,1,143,11,15,0,3,Personal Auto,0,Personal L3,2,4,Call Center,3,427.26,Four-Door Car,1,Medsize,1
VM34210,Washington,9988.69,No,Basic,0,College,1,1/1/2024,Unemployed,0,F,0,Urban,2,Married,1,136,38,46,0,6,Personal Auto,0,Personal L2,1,1,Web,0,455.78,SUV,4,Medsize,1
ZM28138,Arizona,9756.61,No,Basic,0,Bachelor,2,1/1/2024,Employed,1,F,54207,Suburban,1,Single,0,82,1,134,0,2,Personal Auto,0,Personal L3,2,1,Agent,2,459.1,Four-Door Car,1,Medsize,1
EL70257,California,11345.93,No,Basic,0,High School or Below,0,1/1/2024,Employed,1,F,65225,Suburban,1,Divorced,2,96,46,76,0,2,Personal Auto,0,Personal L1,0,1,Agent,2,460.08,Four-Door Car,1,Medsize,1
XE10977,Oregon,3614.62,No,Basic,0,High School or Below,0,1/1/2024,Employed,1,F,96773,Urban,2,Married,1,89,9,23,0,1,Personal Auto,0,Personal L3,2,2,Web,0,264.69,Two-Door Car,0,Medsize,1
WE19034,Oregon,3277.49,No,Basic,0,College,1,1/1/2024,Employed,1,M,32952,Suburban,1,Married,1,84,5,18,0,1,Corporate Auto,1,Corporate L2,4,4,Agent,2,401.76,Four-Door Car,1,Small,0
XZ81226,Arizona,8703.34,No,Extended,1,Bachelor,2,1/1/2024,Employed,1,F,58695,Suburban,1,Married,1,108,36,107,0,9,Personal Auto,0,Personal L1,0,1,Branch,1,518.4,Four-Door Car,1,Medsize,1
RA63927,Oregon,9710.69,No,Extended,1,High School or Below,0,1/1/2024,Employed,1,M,41696,Rural,0,Married,1,123,9,72,0,4,Personal Auto,0,Personal L1,0,3,Web,0,139.62,Two-Door Car,0,Medsize,1
YQ50209,Arizona,6543.78,No,Basic,0,High School or Below,0,1/1/2024,Unemployed,0,M,0,Suburban,1,Single,0,93,0,43,0,7,Corporate Auto,1,Corporate L1,3,2,Agent,2,808.86,Four-Door Car,1,Small,0
QT46430,California,11061.56,No,Basic,0,College,1,1/1/2024,Medical Leave,2,F,17253,Rural,0,Married,1,150,23,72,2,6,Personal Auto,0,Personal L1,0,2,Call Center,3,304.34,Sports Car,2,Medsize,1
ZZ22858,Arizona,20271.85,No,Basic,0,Bachelor,2,1/1/2024,Employed,1,F,95336,Rural,0,Married,1,252,3,113,0,3,Personal Auto,0,Personal L3,2,3,Branch,1,396.83,Luxury Car,3,Medsize,1
IG94072,Oregon,13403.98,No,Extended,1,High School or Below,0,1/1/2024,Employed,1,F,101824,Suburban,1,Married,1,166,4,66,0,6,Personal Auto,0,Personal L1,0,1,Branch,1,1112.13,Sports Car,2,Large,2
HQ32112,Arizona,7079.95,No,Extended,1,High School or Below,0,1/1/2024,Employed,1,M,91977,Rural,0,Married,1,176,30,36,0,1,Personal Auto,0,Personal L2,1,4,Branch,1,305.92,SUV,4,Medsize,1
OL27257,Nevada,5915.54,No,Premium,2,College,1,1/1/2024,Medical Leave,2,F,27532,Urban,2,Married,1,155,38,113,0,1,Personal Auto,0,Personal L3,2,1,Branch,1,686.63,Two-Door Car,0,Medsize,1
ZU96776,California,8355.32,No,Extended,1,Bachelor,2,1/1/2024,Unemployed,0,M,0,Suburban,1,Single,0,122,5,24,0,5,Personal Auto,0,Personal L1,0,1,Call Center,3,874.8,Two-Door Car,0,Large,2
HO40387,California,3470.53,No,Basic,0,Master,3,1/1/2024,Unemployed,0,M,0,Suburban,1,Married,1,97,0,126,3,1,Personal Auto,0,Personal L3,2,4,Call Center,3,466.56,Two-Door Car,0,Small,0
BW94308,Washington,27130.81,Yes,Basic,0,High School or Below,0,1/1/2024,Employed,1,F,125234,Suburban,1,Married,1,96,23,20,0,2,Personal Auto,0,Personal L2,1,2,Agent,2,511.69,Two-Door Car,0,Large,2
EV78251,Oregon,9670.78,No,Basic,0,Doctor,4,1/1/2024,Unemployed,0,F,0,Suburban,1,Single,0,89,11,15,0,2,Personal Auto,0,Personal L3,2,4,Branch,1,427.68,Two-Door Car,0,Small,0
IB39821,Arizona,12165.02,No,Basic,0,Bachelor,2,1/1/2024,Employed,1,M,119756,Urban,2,Married,1,151,8,96,0,9,Personal Auto,0,Personal L2,1,2,Agent,2,674.55,Sports Car,2,Small,0
NU64028,Nevada,16558.56,No,Basic,0,Bachelor,2,1/1/2024,Employed,1,M,48186,Suburban,1,Divorced,2,139,11,85,0,2,Personal Auto,0,Personal L1,0,1,Branch,1,667.44,Sports Car,2,Small,0
XS17260,Oregon,16579.03,Yes,Premium,2,College,1,1/1/2024,Employed,1,M,119259,Suburban,1,Married,1,138,22,1,0,2,Personal Auto,0,Personal L3,2,1,Branch,1,660.96,Two-Door Car,0,Medsize,1
UQ73252,Arizona,6259.34,Yes,Basic,0,College,1,1/1/2024,Retired,3,M,36183,Suburban,1,Married,1,89,9,58,1,5,Personal Auto,0,Personal L3,2,2,Agent,2,427.68,Two-Door Car,0,Medsize,1
LK91880,California,11308.05,No,Basic,0,College,1,1/1/2024,Employed,1,F,35705,Rural,0,Married,1,142,9,57,0,3,Personal Auto,0,Personal L3,2,3,Agent,2,101.7,Sports Car,2,Medsize,1
PO56357,California,7240.76,No,Basic,0,High School or Below,0,1/1/2024,Employed,1,F,87215,Urban,2,Married,1,90,24,96,1,8,Personal Auto,0,Personal L3,2,1,Web,0,367.8,Four-Door Car,1,Medsize,1
HA82735,Arizona,5208.23,No,Extended,1,Bachelor,2,1/1/2024,Unemployed,0,F,0,Suburban,1,Single,0,163,16,90,2,1,Personal Auto,0,Personal L2,1,1,Web,0,1393.48,SUV,4,Medsize,1
PB63095,Washington,7518.08,Yes,Extended,1,High School or Below,0,1/1/2024,Unemployed,0,M,0,Suburban,1,Single,0,107,28,72,1,7,Personal Auto,0,Personal L2,1,1,Agent,2,550.04,Two-Door Car,0,Medsize,1
UK29448,Oregon,3331.07,No,Basic,0,Bachelor,2,1/1/2024,Unemployed,0,M,0,Suburban,1,Single,0,99,39,19,0,1,Personal Auto,0,Personal L2,1,1,Agent,2,709.56,Two-Door Car,0,Medsize,1
ST78006,Oregon,6202.26,No,Basic,0,High School or Below,0,1/1/2024,Unemployed,0,F,0,Rural,0,Married,1,85,15,14,1,3,Personal Auto,0,Personal L2,1,4,Call Center,3,188.1,Four-Door Car,1,Medsize,1
PY98628,Arizona,7518.08,Yes,Extended,1,High School or Below,0,1/1/2024,Unemployed,0,M,0,Suburban,1,Single,0,107,28,72,1,7,Personal Auto,0,Personal L2,1,1,Agent,2,550.04,Two-Door Car,0,Medsize,1
AM89558,Nevada,6259.34,Yes,Basic,0,College,1,1/1/2024,Retired,3,M,36183,Suburban,1,Married,1,89,9,58,1,5,Corporate Auto,1,Corporate L3,5,2,Agent,2,427.68,Two-Door Car,0,Medsize,1
TP20456,Arizona,12271.86,No,Extended,1,High School or Below,0,1/1/2024,Employed,1,M,61169,Suburban,1,Married,1,309,38,95,0,1,Personal Auto,0,Personal L2,1,3,Agent,2,2093.01,Luxury SUV,5,Medsize,1
SP56326,Arizona,10061.55,No,Premium,2,High School or Below,0,1/1/2024,Medical Leave,2,F,16463,Suburban,1,Divorced,2,136,39,47,0,7,Personal Auto,0,Personal L3,2,1,Branch,1,905.29,Four-Door Car,1,Medsize,1
RA27021,Nevada,37212.4,No,Extended,1,Bachelor,2,1/1/2024,Disabled,4,F,35654,Rural,0,Married,1,123,23,122,0,2,Corporate Auto,1,Corporate L1,3,2,Agent,2,249.1,Four-Door Car,1,Large,2
XJ97760,California,6398.81,No,Basic,0,Master,3,1/1/2024,Employed,1,M,47303,Urban,2,Single,0,82,9,117,0,8,Personal Auto,0,Personal L1,0,1,Call Center,3,343.32,Four-Door Car,1,Medsize,1
RY23571,California,3352.96,No,Basic,0,Bachelor,2,1/1/2024,Employed,1,F,102080,Rural,0,Married,1,88,22,53,5,1,Personal Auto,0,Personal L3,2,2,Branch,1,211.34,Four-Door Car,1,Medsize,1
JT47995,Arizona,81750.86,No,Extended,1,College,1,1/1/2024,Unemployed,0,F,0,Suburban,1,Married,1,275,47,61,0,2,Personal Auto,0,Personal L3,2,1,Web,0,1321.92,Luxury SUV,5,Large,2
NK53938,Oregon,3509.96,No,Basic,0,Master,3,1/1/2024,Employed,1,M,60994,Suburban,1,Married,1,88,28,92,0,1,Personal Auto,0,Personal L2,1,4,Call Center,3,421.2,Four-Door Car,1,Medsize,1
IB36843,California,7513.95,No,Basic,0,Master,3,1/1/2024,Employed,1,M,122319,Urban,2,Single,0,95,11,120,0,3,Personal Auto,0,Personal L2,1,2,Web,0,420.54,Four-Door Car,1,Medsize,1
YR85283,Nevada,20363.11,No,Extended,1,High School or Below,0,1/1/2024,Employed,1,F,35128,Urban,2,Married,1,170,8,43,0,2,Personal Auto,0,Personal L2,1,4,Agent,2,447.99,SUV,4,Small,0
CO25601,Washington,5552.04,No,Basic,0,High School or Below,0,1/1/2024,Unemployed,0,M,0,Suburban,1,Single,0,96,22,122,3,9,Personal Auto,0,Personal L2,1,1,Agent,2,769.18,Four-Door Car,1,Medsize,1
HB29169,Washington,57325.01,No,Premium,2,Bachelor,2,1/1/2024,Unemployed,0,F,0,Suburban,1,Married,1,379,22,124,1,2,Personal Auto,0,Personal L3,2,1,Branch,1,2024.74,Luxury SUV,5,Medsize,1
RH97231,Washington,11736.89,No,Basic,0,Bachelor,2,1/1/2024,Employed,1,M,66006,Suburban,1,Married,1,149,12,35,0,3,Personal Auto,0,Personal L3,2,1,Branch,1,1063.65,SUV,4,Medsize,1
XL80761,California,12547.02,No,Basic,0,College,1,1/1/2024,Employed,1,M,91184,Suburban,1,Married,1,157,3,20,0,3,Corporate Auto,1,Corporate L3,5,1,Branch,1,751.68,SUV,4,Small,0
UD27331,Nevada,4376.48,No,Extended,1,Bachelor,2,1/1/2024,Employed,1,M,45496,Suburban,1,Single,0,119,19,30,3,1,Personal Auto,0,Personal L3,2,1,Agent,2,622.1,Four-Door Car,1,Medsize,1
SG71810,Oregon,15673.84,No,Basic,0,College,1,1/1/2024,Employed,1,F,56029,Rural,0,Married,1,99,38,93,0,2,Personal Auto,0,Personal L3,2,1,Agent,2,20.25,Two-Door Car,0,Small,0
LR32149,Arizona,30969.52,No,Basic,0,Bachelor,2,1/1/2024,Employed,1,F,71541,Urban,2,Married,1,86,22,116,0,2,Personal Auto,0,Personal L1,0,1,Call Center,3,411.34,Four-Door Car,1,Medsize,1
FC68244,Oregon,8270.87,No,Extended,1,High School or Below,0,1/1/2024,Employed,1,M,82538,Suburban,1,Married,1,103,5,22,0,4,Personal Auto,0,Personal L2,1,2,Web,0,492.48,Four-Door Car,1,Medsize,1
LO15516,California,3633.8,No,Basic,0,Bachelor,2,1/1/2024,Employed,1,M,46335,Suburban,1,Married,1,95,27,62,2,1,Corporate Auto,1,Corporate L2,4,2,Agent,2,453.6,Four-Door Car,1,Medsize,1
ET47892,Oregon,16579.03,Yes,Premium,2,College,1,1/1/2024,Employed,1,M,119259,Suburban,1,Married,1,138,22,1,0,2,Personal Auto,0,Personal L3,2,1,Branch,1,660.96,Two-Door Car,0,Medsize,1
ZS35830,Oregon,3625.97,No,Basic,0,College,1,1/1/2024,Employed,1,F,78524,Rural,0,Married,1,90,4,26,0,1,Personal Auto,0,Personal L2,1,2,Call Center,3,124.09,Four-Door Car,1,Medsize,1
AY55759,California,27130.81,Yes,Basic,0,High School or Below,0,1/1/2024,Employed,1,F,125234,Suburban,1,Married,1,96,23,20,0,2,Personal Auto,0,Personal L2,1,2,Agent,2,511.69,Two-Door Car,0,Large,2
ZO30377,California,4687.7,No,Premium,2,High School or Below,0,1/1/2024,Unemployed,0,M,0,Suburban,1,Single,0,138,34,65,0,1,Personal Auto,0,Personal L3,2,2,Agent,2,1317.75,Four-Door Car,1,Medsize,1
FV15346,Arizona,47849.82,No,Extended,1,College,1,1/1/2024,Employed,1,M,130752,Suburban,1,Divorced,2,132,46,92,0,2,Personal Auto,0,Personal L3,2,1,Call Center,3,763.43,Two-Door Car,0,Medsize,1
AX28231,Washington,7332.35,No,Basic,0,High School or Below,0,1/1/2024,Employed,1,M,66616,Urban,2,Married,1,93,14,16,0,7,Personal Auto,0,Personal L3,2,2,Agent,2,338.95,Two-Door Car,0,Medsize,1
UM94104,Oregon,7040.21,No,Basic,0,High School or Below,0,1/1/2024,Employed,1,M,88256,Rural,0,Married,1,88,12,113,0,3,Personal Auto,0,Personal L3,2,4,Branch,1,8.2,Four-Door Car,1,Medsize,1
TG70775,California,27130.81,Yes,Basic,0,High School or Below,0,1/1/2024,Employed,1,F,125234,Suburban,1,Married,1,96,23,20,0,2,Personal Auto,0,Personal L3,2,2,Agent,2,511.69,Two-Door Car,0,Large,2
YK60829,Oregon,27130.81,Yes,Basic,0,High School or Below,0,1/1/2024,Employed,1,F,125234,Suburban,1,Married,1,96,23,20,0,2,Corporate Auto,1,Corporate L1,3,2,Agent,2,511.69,Two-Door Car,0,Large,2
ZT52415,Oregon,10997.08,No,Basic,0,Bachelor,2,1/1/2024,Employed,1,F,84421,Suburban,1,Married,1,92,14,1,0,2,Personal Auto,0,Personal L1,0,2,Branch,1,440.64,Two-Door Car,0,Medsize,1
YJ16399,California,15158.19,No,Basic,0,High School or Below,0,1/1/2024,Unemployed,0,M,0,Suburban,1,Single,0,86,1,85,0,2,Corporate Auto,1,Corporate L3,5,3,Branch,1,1043.33,Four-Door Car,1,Medsize,1
QW81912,California,10808.4,No,Extended,1,High School or Below,0,1/1/2024,Employed,1,F,86079,Rural,0,Married,1,134,18,74,0,4,Personal Auto,0,Personal L1,0,2,Branch,1,146.02,Four-Door Car,1,Medsize,1
IV37346,Oregon,10006.24,No,Basic,0,College,1,1/1/2024,Employed,1,F,70871,Suburban,1,Divorced,2,85,30,62,0,2,Corporate Auto,1,Corporate L3,5,1,Agent,2,408.24,Two-Door Car,0,Small,0
ZF77631,California,30724.53,No,Basic,0,Master,3,1/1/2024,Employed,1,M,108729,Rural,0,Married,1,85,36,100,0,2,Personal Auto,0,Personal L2,1,4,Agent,2,88.89,Four-Door Car,1,Medsize,1
EZ30537,Oregon,32379.24,No,Premium,2,Doctor,4,1/1/2024,Employed,1,F,107534,Rural,0,Married,1,400,16,23,0,9,Personal Auto,0,Personal L3,2,2,Branch,1,672.52,Luxury Car,3,Medsize,1
ZQ28996,Nevada,7273.83,No,Basic,0,College,1,1/1/2024,Employed,1,M,66008,Urban,2,Married,1,92,22,36,0,7,Corporate Auto,1,Corporate L1,3,1,Web,0,438.76,Four-Door Car,1,Large,2
UU84036,California,11161.6,No,Basic,0,High School or Below,0,1/1/2024,Employed,1,M,80456,Urban,2,Married,1,93,8,80,0,2,Special Auto,2,Special L2,7,1,Agent,2,300.77,Two-Door Car,0,Medsize,1
XQ51968,California,7518.08,Yes,Extended,1,High School or Below,0,1/1/2024,Unemployed,0,M,0,Suburban,1,Single,0,107,28,72,1,7,Corporate Auto,1,Corporate L3,5,1,Agent,2,550.04,Two-Door Car,0,Medsize,1
OQ45659,Arizona,56355.76,No,Premium,2,College,1,1/1/2024,Employed,1,F,61332,Suburban,1,Married,1,157,31,109,0,2,Personal Auto,0,Personal L3,2,2,Branch,1,751.68,Four-Door Car,1,Medsize,1
DY92795,Oregon,4356.25,No,Extended,1,Bachelor,2,1/1/2024,Employed,1,F,112390,Suburban,1,Married,1,108,5,132,0,1,Personal Auto,0,Personal L1,0,2,Call Center,3,518.4,Four-Door Car,1,Medsize,1
VU79621,Oregon,10989,No,Basic,0,Master,3,1/1/2024,Unemployed,0,M,0,Suburban,1,Divorced,2,146,14,57,0,6,Personal Auto,0,Personal L2,1,2,Branch,1,699.84,Sports Car,2,Large,2
NU57274,California,12628.07,No,Extended,1,Bachelor,2,1/1/2024,Unemployed,0,M,0,Suburban,1,Single,0,182,32,90,0,8,Personal Auto,0,Personal L1,0,1,Branch,1,1312.2,SUV,4,Large,2
JO64353,Oregon,7157.48,No,Basic,0,High School or Below,0,1/1/2024,Employed,1,F,27363,Suburban,1,Married,1,89,19,107,0,3,Personal Auto,0,Personal L3,2,1,Agent,2,641.52,Two-Door Car,0,Small,0
WR88041,Washington,6809.13,No,Basic,0,High School or Below,0,1/1/2024,Employed,1,M,48373,Urban,2,Divorced,2,88,1,59,0,7,Personal Auto,0,Personal L3,2,1,Agent,2,239.24,Four-Door Car,1,Medsize,1
CY30418,Washington,7807.29,No,Basic,0,College,1,1/1/2024,Employed,1,M,97678,Rural,0,Divorced,2,99,12,14,0,8,Personal Auto,0,Personal L3,2,1,Agent,2,18.83,Four-Door Car,1,Medsize,1
HJ21793,Oregon,6275.53,No,Extended,1,Bachelor,2,1/1/2024,Unemployed,0,F,0,Suburban,1,Married,1,163,15,14,0,1,Personal Auto,0,Personal L1,0,3,Call Center,3,1458.75,SUV,4,Medsize,1
TU67471,Washington,27130.81,Yes,Basic,0,High School or Below,0,1/1/2024,Employed,1,F,125234,Suburban,1,Married,1,96,23,20,0,2,Personal Auto,0,Personal L2,1,2,Agent,2,511.69,Two-Door Car,0,Large,2
FD45309,Oregon,7518.08,Yes,Extended,1,High School or Below,0,1/1/2024,Unemployed,0,M,0,Suburban,1,Single,0,107,28,72,1,7,Personal Auto,0,Personal L2,1,1,Agent,2,550.04,Two-Door Car,0,Medsize,1
LC92080,Oregon,9784.44,No,Basic,0,College,1,1/1/2024,Employed,1,M,31780,Rural,0,Married,1,84,16,51,0,2,Personal Auto,0,Personal L3,2,2,Agent,2,133.55,Two-Door Car,0,Medsize,1
DJ27518,California,13621.22,No,Extended,1,High School or Below,0,1/1/2024,Employed,1,F,85937,Suburban,1,Single,0,173,1,35,0,7,Corporate Auto,1,Corporate L3,5,4,Agent,2,829.44,Sports Car,2,Medsize,1
RK63095,California,4216.03,No,Extended,1,College,1,1/1/2024,Employed,1,M,98437,Suburban,1,Single,0,108,34,97,0,1,Personal Auto,0,Personal L3,2,2,Web,0,518.4,Two-Door Car,0,Medsize,1
NP19156,Arizona,6243.15,No,Basic,0,Master,3,1/1/2024,Employed,1,F,38156,Urban,2,Divorced,2,82,30,16,4,6,Corporate Auto,1,Corporate L2,4,1,Agent,2,226.65,Four-Door Car,1,Medsize,1
DH68319,Oregon,3763.13,No,Basic,0,College,1,1/1/2024,Employed,1,F,84383,Suburban,1,Married,1,93,4,122,0,1,Personal Auto,0,Personal L1,0,1,Branch,1,447.12,Two-Door Car,0,Large,2
TM12486,Oregon,3995.93,No,Extended,1,High School or Below,0,1/1/2024,Retired,3,M,37989,Suburban,1,Single,0,115,31,7,0,1,Personal Auto,0,Personal L3,2,3,Web,0,826.2,Four-Door Car,1,Small,0
CS30775,California,5657.93,No,Basic,0,High School or Below,0,1/1/2024,Unemployed,0,M,0,Suburban,1,Single,0,86,4,72,1,7,Personal Auto,0,Personal L3,2,4,Web,0,723.54,Two-Door Car,0,Small,0
LX71137,Arizona,4987.1,No,Extended,1,Bachelor,2,1/1/2024,Employed,1,F,118105,Suburban,1,Divorced,2,124,16,77,0,1,Personal Auto,0,Personal L3,2,3,Branch,1,596.16,Four-Door Car,1,Medsize,1
MO82744,California,7635.87,No,Basic,0,Bachelor,2,1/1/2024,Employed,1,F,61541,Urban,2,Divorced,2,97,23,27,0,4,Personal Auto,0,Personal L2,1,1,Branch,1,274.62,Four-Door Car,1,Medsize,1
GG20671,Nevada,21158.73,No,Extended,1,College,1,1/1/2024,Employed,1,M,58410,Suburban,1,Married,1,105,11,14,0,2,Special Auto,2,Special L2,7,4,Agent,2,611.65,Four-Door Car,1,Large,2
BA19651,California,8281.42,No,Extended,1,High School or Below,0,1/1/2024,Employed,1,M,59231,Urban,2,Divorced,2,105,24,45,0,5,Corporate Auto,1,Corporate L3,5,3,Agent,2,390.78,Four-Door Car,1,Medsize,1
FU51754,Arizona,7518.08,Yes,Extended,1,High School or Below,0,1/1/2024,Unemployed,0,M,0,Suburban,1,Single,0,107,28,72,1,7,Personal Auto,0,Personal L2,1,1,Agent,2,550.04,Two-Door Car,0,Medsize,1
GB94407,California,16579.03,Yes,Premium,2,College,1,1/1/2024,Employed,1,M,119259,Suburban,1,Married,1,138,22,1,0,2,Corporate Auto,1,Corporate L2,4,1,Branch,1,660.96,Two-Door Car,0,Medsize,1
WX19595,Arizona,19480.36,No,Basic,0,High School or Below,0,1/1/2024,Unemployed,0,M,0,Suburban,1,Married,1,267,5,42,0,9,Personal Auto,0,Personal L2,1,4,Agent,2,1298.92,Luxury Car,3,Small,0
