customer_id,state,customer_lifetime_value,response,coverage,education,effective_to_date,employment_status,gender,income,location,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy_name,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,income_band,claim_severity,complaint_risk,risk_score,missing_income_flag
XY66810,California,20416.04,No,Basic,Bachelor,2024-09-02,Unemployed,F,,Suburban,Single,97,47,116,0,2,Personal Auto,Personal L3,2,Agent,699.84,Two-Door Car,Medsize,,Medium,None,0,1
KV53202,California,4092.39,No,Extended,High School or Below,2024-09-02,Unemployed,F,,Suburban,Single,116,9,42,0,1,Corporate Auto,Corporate L1,2,Branch,835.92,Two-Door Car,Medsize,,Medium,None,0,1
FP99321,Washington,3548.03,No,Extended,High School or Below,2024-09-02,Unemployed,M,,Suburban,Single,120,16,99,4,1,Personal Auto,Personal L3,1,Branch,865.08,Four-Door Car,Small,,Medium,High,2,1
WN14477,California,28667.85,No,Extended,Bachelor,2024-09-02,Unemployed,M,,Suburban,Divorced,116,39,61,0,2,Personal Auto,Personal L1,2,Branch,767.81,Four-Door Car,Medsize,,Medium,None,0,1
LP86596,Arizona,3448.64,No,Basic,High School or Below,2024-09-02,Unemployed,F,,Suburban,Married,95,26,36,0,1,Personal Auto,Personal L3,4,Agent,453.6,Four-Door Car,Medsize,,Low,None,0,1
JM30137,Washington,22671.86,No,Extended,College,2024-09-02,Unemployed,F,,Suburban,Single,321,39,122,1,4,Personal Auto,Personal L3,2,Call Center,1542.24,Luxury Car,Large,,Medium,Low,5,1
SM39580,Arizona,4302.93,No,Extended,Doctor,2024-09-02,Unemployed,M,,Suburban,Married,115,36,39,0,1,Corporate Auto,Corporate L2,2,Call Center,803.47,Two-Door Car,Large,,Medium,None,0,1
HB59616,Washington,6079.02,No,Basic,College,2024-09-02,Unemployed,F,,Suburban,Single,86,39,97,0,6,Personal Auto,Personal L2,1,Agent,414.72,Two-Door Car,Large,,Low,None,0,1
BD66455,California,6643.04,No,Premium,High School or Below,2024-09-02,Unemployed,M,,Suburban,Single,193,18,38,0,1,Personal Auto,Personal L3,1,Agent,1389.96,SUV,Medsize,,Medium,None,0,1
WQ91717,Arizona,10318.14,No,Basic,College,0011-01-20,Unemployed,F,,Suburban,Married,143,30,69,1,8,Special Auto,Special L3,3,Branch,686.88,SUV,Medsize,,Medium,Low,2,1
JP30654,Oregon,38725.87,No,Basic,College,0011-02-24,Employed,F,65356,Suburban,Single,140,20,31,0,2,Personal Auto,Personal L3,3,Agent,955.03,SUV,Medsize,Upper-Middle,Medium,None,0,0
HJ58678,Nevada,7314.51,No,Basic,College,2024-10-02,Employed,F,77742,Urban,Divorced,92,5,112,0,7,Personal Auto,Personal L2,3,Agent,347.07,Four-Door Car,Medsize,Upper-Middle,Low,None,0,0
IN10489,Nevada,6783.45,No,Basic,Master,0011-02-16,Employed,F,106342,Rural,Married,84,12,63,0,8,Personal Auto,Personal L3,2,Branch,116.47,Four-Door Car,Small,High,Low,None,0,0
VA35421,Nevada,6996.97,No,Basic,Master,2024-02-02,Employed,F,112761,Rural,Married,86,26,36,1,3,Personal Auto,Personal L1,2,Branch,52.82,Two-Door Car,Large,High,Low,Low,2,0
BL12371,Arizona,7817.26,No,Basic,Master,2024-03-02,Employed,M,114144,Rural,Divorced,97,14,111,0,5,Personal Auto,Personal L3,2,Agent,39.05,Four-Door Car,Large,High,Low,None,0,0
OB32861,Nevada,8489.01,No,Extended,High School or Below,0011-01-21,Unemployed,M,,Suburban,Married,113,19,89,0,3,Special Auto,Special L2,4,Web,544.32,Two-Door Car,Medsize,,Medium,None,0,1
CO16841,California,4900.86,No,Basic,Bachelor,0011-02-16,Unemployed,F,,Suburban,Single,136,46,72,0,1,Corporate Auto,Corporate L2,2,Web,981.72,SUV,Small,,Medium,None,0,1
OX72195,Arizona,2921.22,No,Basic,College,2024-07-02,Unemployed,M,,Suburban,Single,85,0,101,0,1,Corporate Auto,Corporate L3,2,Branch,408.24,Two-Door Car,Medsize,,Low,None,0,1
IR73545,Oregon,18532.53,Yes,Extended,College,2024-08-01,Unemployed,M,,Suburban,Single,170,16,5,0,2,Personal Auto,Personal L2,1,Agent,816.48,SUV,Medsize,,Medium,None,0,1
MM70762,Arizona,12252.29,Yes,Basic,Master,0011-01-26,Employed,M,50925,Rural,Single,157,11,31,0,8,Personal Auto,Personal L1,1,Agent,213.4,Sports Car,Medsize,Lower-Middle,Low,None,0,0
DS57918,California,45520.44,No,Basic,Bachelor,0011-01-27,Medical Leave,M,37125,Urban,Divorced,154,34,63,0,2,Corporate Auto,Corporate L1,1,Branch,637.58,SUV,Large,Low,Medium,None,0,0
RE46032,Nevada,58442.17,No,Extended,College,0011-01-29,Medical Leave,M,31324,Suburban,Single,178,28,96,0,2,Personal Auto,Personal L3,1,Agent,1564.37,SUV,Medsize,Low,Medium,None,3,0
JQ56711,Oregon,7996.21,No,Basic,Master,2024-02-02,Employed,F,124420,Rural,Married,99,4,107,0,6,Personal Auto,Personal L3,3,Web,89.87,Two-Door Car,Medsize,High,Low,None,0,0
VU32116,Oregon,4787.64,No,Basic,College,2024-09-01,Unemployed,F,,Suburban,Single,139,15,124,0,1,Personal Auto,Personal L3,3,Branch,839.65,SUV,Small,,Medium,None,0,1
HA20933,Oregon,17913.96,No,Basic,Bachelor,2024-07-01,Medical Leave,F,21082,Suburban,Married,154,27,130,1,2,Personal Auto,Personal L2,1,Agent,738.72,SUV,Medsize,Low,Medium,Low,4,0
FG77231,Oregon,17201.49,Yes,Basic,Bachelor,2024-07-01,Employed,F,98623,Urban,Married,143,46,49,1,2,Personal Auto,Personal L3,1,Branch,566.14,SUV,Medsize,High,Medium,Low,2,0
AE98193,Washington,10610.21,No,Basic,High School or Below,2024-01-01,Unemployed,M,,Suburban,Single,153,26,14,0,7,Personal Auto,Personal L1,1,Branch,1098.36,SUV,Medsize,,Medium,None,0,1
QZ42725,Washington,3119.69,No,Basic,Bachelor,2024-01-01,Unemployed,F,,Suburban,Single,86,16,32,0,1,Personal Auto,Personal L3,2,Agent,622.08,Four-Door Car,Medsize,,Medium,None,0,1
QP80741,Washington,8165.58,No,Basic,College,2024-01-01,Unemployed,F,,Suburban,Married,82,23,96,3,2,Corporate Auto,Corporate L1,3,Agent,395.28,Four-Door Car,Medsize,,Low,High,2,1
WP41146,California,7210.94,No,Basic,High School or Below,2024-01-01,Unemployed,F,,Suburban,Married,97,5,15,1,7,Personal Auto,Personal L2,1,Branch,466.56,Four-Door Car,Medsize,,Low,Low,2,1
HP55391,Oregon,7325.28,No,Basic,Master,2024-01-01,Unemployed,M,,Suburban,Married,96,45,112,0,3,Corporate Auto,Corporate L3,1,Agent,550.8,Four-Door Car,Medsize,,Medium,None,0,1
LP47259,Arizona,11237.71,No,Extended,High School or Below,2024-01-01,Unemployed,M,,Suburban,Single,163,15,124,0,5,Corporate Auto,Corporate L3,2,Branch,1176.12,Sports Car,Medsize,,Medium,None,0,1
JG36165,California,8157.53,No,Extended,Bachelor,2024-01-01,Unemployed,M,,Suburban,Single,112,16,28,0,5,Personal Auto,Personal L1,4,Web,1220.92,Two-Door Car,Medsize,,Medium,None,0,1
LI85491,Oregon,5055.18,No,Basic,High School or Below,2024-01-01,Unemployed,F,,Suburban,Single,136,4,43,0,1,Personal Auto,Personal L3,1,Agent,981.72,SUV,Small,,Medium,None,0,1
EP18940,Oregon,12788.51,No,Extended,Bachelor,2024-01-01,Unemployed,F,,Suburban,Married,116,41,43,0,2,Personal Auto,Personal L3,1,Call Center,557.28,Four-Door Car,Medsize,,Medium,None,0,1
TH68362,California,3205.99,No,Basic,College,2024-01-01,Unemployed,F,,Suburban,Married,86,3,70,0,1,Corporate Auto,Corporate L3,3,Agent,514.11,Four-Door Car,Medsize,,Medium,None,0,1
VM34210,Washington,9988.69,No,Basic,College,2024-01-01,Unemployed,F,,Urban,Married,136,38,46,0,6,Personal Auto,Personal L2,1,Web,455.78,SUV,Medsize,,Low,None,0,1
YQ50209,Arizona,6543.78,No,Basic,High School or Below,2024-01-01,Unemployed,M,,Suburban,Single,93,0,43,0,7,Corporate Auto,Corporate L1,2,Agent,808.86,Four-Door Car,Small,,Medium,None,0,1
ZU96776,California,8355.32,No,Extended,Bachelor,2024-01-01,Unemployed,M,,Suburban,Single,122,5,24,0,5,Personal Auto,Personal L1,1,Call Center,874.8,Two-Door Car,Large,,Medium,None,0,1
HO40387,California,3470.53,No,Basic,Master,2024-01-01,Unemployed,M,,Suburban,Married,97,0,126,3,1,Personal Auto,Personal L3,4,Call Center,466.56,Two-Door Car,Small,,Low,High,2,1
EV78251,Oregon,9670.78,No,Basic,Doctor,2024-01-01,Unemployed,F,,Suburban,Single,89,11,15,0,2,Personal Auto,Personal L3,4,Branch,427.68,Two-Door Car,Small,,Low,None,0,1
HA82735,Arizona,5208.23,No,Extended,Bachelor,2024-01-01,Unemployed,F,,Suburban,Single,163,16,90,2,1,Personal Auto,Personal L2,1,Web,1393.48,SUV,Medsize,,Medium,Low,2,1
PB63095,Washington,7518.08,Yes,Extended,High School or Below,2024-01-01,Unemployed,M,,Suburban,Single,107,28,72,1,7,Personal Auto,Personal L2,1,Agent,550.04,Two-Door Car,Medsize,,Medium,Low,2,1
UK29448,Oregon,3331.07,No,Basic,Bachelor,2024-01-01,Unemployed,M,,Suburban,Single,99,39,19,0,1,Personal Auto,Personal L2,1,Agent,709.56,Two-Door Car,Medsize,,Medium,None,0,1
ST78006,Oregon,6202.26,No,Basic,High School or Below,2024-01-01,Unemployed,F,,Rural,Married,85,15,14,1,3,Personal Auto,Personal L2,4,Call Center,188.1,Four-Door Car,Medsize,,Low,Low,2,1
PY98628,Arizona,7518.08,Yes,Extended,High School or Below,2024-01-01,Unemployed,M,,Suburban,Single,107,28,72,1,7,Personal Auto,Personal L2,1,Agent,550.04,Two-Door Car,Medsize,,Medium,Low,2,1
JT47995,Arizona,81750.86,No,Extended,College,2024-01-01,Unemployed,F,,Suburban,Married,275,47,61,0,2,Personal Auto,Personal L3,1,Web,1321.92,Luxury SUV,Large,,Medium,None,0,1
CO25601,Washington,5552.04,No,Basic,High School or Below,2024-01-01,Unemployed,M,,Suburban,Single,96,22,122,3,9,Personal Auto,Personal L2,1,Agent,769.18,Four-Door Car,Medsize,,Medium,High,2,1
HB29169,Washington,57325.01,No,Premium,Bachelor,2024-01-01,Unemployed,F,,Suburban,Married,379,22,124,1,2,Personal Auto,Personal L3,1,Branch,2024.74,Luxury SUV,Medsize,,High,Low,5,1
ZO30377,California,4687.7,No,Premium,High School or Below,2024-01-01,Unemployed,M,,Suburban,Single,138,34,65,0,1,Personal Auto,Personal L3,2,Agent,1317.75,Four-Door Car,Medsize,,Medium,None,0,1
YJ16399,California,15158.19,No,Basic,High School or Below,2024-01-01,Unemployed,M,,Suburban,Single,86,1,85,0,2,Corporate Auto,Corporate L3,3,Branch,1043.33,Four-Door Car,Medsize,,Medium,None,0,1
XQ51968,California,7518.08,Yes,Extended,High School or Below,2024-01-01,Unemployed,M,,Suburban,Single,107,28,72,1,7,Corporate Auto,Corporate L3,1,Agent,550.04,Two-Door Car,Medsize,,Medium,Low,2,1
VU79621,Oregon,10989,No,Basic,Master,2024-01-01,Unemployed,M,,Suburban,Divorced,146,14,57,0,6,Personal Auto,Personal L2,2,Branch,699.84,Sports Car,Large,,Medium,None,0,1
NU57274,California,12628.07,No,Extended,Bachelor,2024-01-01,Unemployed,M,,Suburban,Single,182,32,90,0,8,Personal Auto,Personal L1,1,Branch,1312.2,SUV,Large,,Medium,None,0,1
HJ21793,Oregon,6275.53,No,Extended,Bachelor,2024-01-01,Unemployed,F,,Suburban,Married,163,15,14,0,1,Personal Auto,Personal L1,3,Call Center,1458.75,SUV,Medsize,,Medium,None,0,1
FD45309,Oregon,7518.08,Yes,Extended,High School or Below,2024-01-01,Unemployed,M,,Suburban,Single,107,28,72,1,7,Personal Auto,Personal L2,1,Agent,550.04,Two-Door Car,Medsize,,Medium,Low,2,1
CS30775,California,5657.93,No,Basic,High School or Below,2024-01-01,Unemployed,M,,Suburban,Single,86,4,72,1,7,Personal Auto,Personal L3,4,Web,723.54,Two-Door Car,Small,,Medium,Low,2,1
FU51754,Arizona,7518.08,Yes,Extended,High School or Below,2024-01-01,Unemployed,M,,Suburban,Single,107,28,72,1,7,Personal Auto,Personal L2,1,Agent,550.04,Two-Door Car,Medsize,,Medium,Low,2,1
WX19595,Arizona,19480.36,No,Basic,High School or Below,2024-01-01,Unemployed,M,,Suburban,Married,267,5,42,0,9,Personal Auto,Personal L2,4,Agent,1298.92,Luxury Car,Small,,Medium,None,0,1
IU83998,Washington,15115.22,No,Premium,Bachelor,2024-01-01,Unemployed,F,,Suburban,Married,402,35,127,0,1,Personal Auto,Personal L3,1,Branch,2896.56,Luxury Car,Medsize,,High,None,3,1
FA90739,Oregon,16843.47,No,Extended,High School or Below,2024-01-01,Unemployed,M,,Suburban,Single,163,9,46,0,2,Corporate Auto,Corporate L3,1,Call Center,1176.12,SUV,Medsize,,Medium,None,0,1
GJ44951,Washington,6343.33,No,Basic,Bachelor,2024-01-01,Unemployed,F,,Suburban,Single,90,36,96,0,6,Personal Auto,Personal L2,1,Agent,434.16,Two-Door Car,Medsize,,Low,None,0,1
EC66666,Arizona,9850.27,No,Basic,College,2024-01-01,Unemployed,F,,Suburban,Divorced,90,39,119,0,2,Personal Auto,Personal L1,1,Web,434.16,Two-Door Car,Medsize,,Low,None,0,1
CO68055,Oregon,41804.53,No,Basic,Bachelor,2024-01-01,Unemployed,M,,Suburban,Married,147,24,3,0,2,Personal Auto,Personal L1,3,Branch,933.39,SUV,Small,,Medium,None,0,1
QU69375,Nevada,7518.08,Yes,Extended,High School or Below,2024-01-01,Unemployed,M,,Suburban,Single,107,28,72,1,7,Corporate Auto,Corporate L2,1,Agent,550.04,Two-Door Car,Medsize,,Medium,Low,2,1
HJ64239,California,11154.55,No,Basic,College,2024-01-01,Unemployed,F,,Suburban,Single,153,34,74,0,3,Corporate Auto,Corporate L3,1,Agent,1098.36,SUV,Medsize,,Medium,None,0,1
WL28610,California,5597.65,No,Basic,High School or Below,2024-01-01,Unemployed,F,,Suburban,Divorced,157,34,7,1,1,Corporate Auto,Corporate L3,3,Branch,751.68,SUV,Medsize,,Medium,Low,2,1
MF82000,Washington,3193.22,No,Basic,Bachelor,0011-01-13,Unemployed,F,,Rural,Married,89,34,69,2,1,Special Auto,Special L2,2,Branch,215.51,Four-Door Car,Medsize,,Low,Low,2,1
MY97912,Arizona,17967.6,No,Extended,College,0011-01-13,Unemployed,M,,Suburban,Divorced,171,26,54,0,2,Personal Auto,Personal L3,1,Call Center,822.96,SUV,Medsize,,Medium,None,0,1
JF57282,Nevada,6565.79,No,Extended,Bachelor,0011-01-13,Unemployed,M,,Suburban,Married,185,34,61,0,1,Personal Auto,Personal L2,2,Branch,887.76,SUV,Small,,Medium,None,0,1
EI71732,Oregon,8458.21,Yes,Extended,Doctor,0011-01-13,Unemployed,F,,Suburban,Married,113,24,34,1,4,Personal Auto,Personal L1,1,Agent,649.38,Four-Door Car,Medsize,,Medium,Low,2,1
RY92647,California,14184.14,No,Extended,Bachelor,0011-01-13,Unemployed,F,,Suburban,Married,124,20,49,0,2,Personal Auto,Personal L3,1,Branch,737.81,Four-Door Car,Medsize,,Medium,None,0,1
CK40732,California,10275.14,No,Premium,High School or Below,0011-01-13,Unemployed,F,,Suburban,Single,139,45,73,0,3,Special Auto,Special L2,1,Agent,1001.16,Four-Door Car,Medsize,,Medium,None,0,1
JW24035,Oregon,9250.2,No,Basic,College,0011-01-13,Unemployed,M,,Suburban,Single,93,9,61,1,2,Personal Auto,Personal L2,2,Branch,549.45,Four-Door Car,Medsize,,Medium,Low,2,1
LT89398,California,4617.61,No,Extended,High School or Below,0011-01-13,Unemployed,M,,Suburban,Married,124,3,51,0,1,Personal Auto,Personal L2,4,Web,596.16,Four-Door Car,Small,,Medium,None,0,1
KP65334,California,7871.26,No,Extended,College,0011-01-13,Unemployed,F,,Suburban,Married,104,15,49,0,6,Corporate Auto,Corporate L1,1,Agent,1057.63,Four-Door Car,Medsize,,Medium,None,0,1
QQ53360,Nevada,3697.73,No,Extended,College,0011-01-13,Unemployed,M,,Suburban,Married,124,35,15,4,1,Personal Auto,Personal L2,3,Agent,887.34,Two-Door Car,Medsize,,Medium,High,2,1
TG57800,Oregon,3510.87,No,Basic,College,0011-01-13,Unemployed,F,,Suburban,Single,100,26,5,0,1,Personal Auto,Personal L2,1,Call Center,676.99,Two-Door Car,Medsize,,Medium,None,0,1
CL37990,Arizona,9043.95,No,Extended,Bachelor,0011-01-13,Unemployed,F,,Suburban,Single,134,28,47,1,4,Corporate Auto,Corporate L1,1,Call Center,944.56,Four-Door Car,Medsize,,Medium,Low,2,1
RI35792,Nevada,5349.81,No,Extended,College,0011-01-13,Unemployed,F,,Urban,Married,169,36,131,4,1,Personal Auto,Personal L3,3,Branch,728.41,SUV,Small,,Medium,High,2,1
ST59524,Oregon,3587.72,No,Basic,College,0011-01-13,Unemployed,M,,Suburban,Married,96,30,34,0,1,Personal Auto,Personal L1,3,Call Center,460.08,Four-Door Car,Medsize,,Low,None,0,1
VF83291,Oregon,6528.67,No,Basic,College,0011-01-13,Unemployed,F,,Suburban,Single,93,16,120,0,8,Personal Auto,Personal L1,1,Agent,853.31,Four-Door Car,Small,,Medium,None,0,1
XH93021,Nevada,7343.11,No,Extended,High School or Below,0011-01-13,Unemployed,M,,Suburban,Single,111,16,54,0,6,Personal Auto,Personal L3,1,Branch,797.04,Four-Door Car,Small,,Medium,None,0,1
KI82366,Arizona,10007.5,No,Premium,College,0011-01-13,Unemployed,M,,Suburban,Single,151,43,100,0,5,Personal Auto,Personal L3,4,Call Center,1088.64,Four-Door Car,Medsize,,Medium,None,0,1
GP99578,Nevada,9566.34,No,Basic,High School or Below,0011-01-13,Unemployed,F,,Suburban,Single,265,14,51,0,1,Personal Auto,Personal L3,1,Branch,2220.33,Luxury SUV,Medsize,,High,None,3,1
YC83239,Washington,3866.53,No,Extended,Bachelor,0011-01-13,Unemployed,F,,Suburban,Single,112,23,41,0,1,Personal Auto,Personal L2,4,Web,1114.14,Two-Door Car,Medsize,,Medium,None,0,1
ZX68434,California,6918.73,No,Extended,Doctor,0011-01-13,Unemployed,F,,Suburban,Divorced,181,18,76,0,1,Personal Auto,Personal L2,3,Web,868.32,SUV,Medsize,,Medium,None,0,1
RA43827,Oregon,11648.21,No,Basic,High School or Below,0011-01-13,Unemployed,F,,Suburban,Single,158,15,85,0,5,Special Auto,Special L2,2,Branch,1137.24,SUV,Medsize,,Medium,None,0,1
HX36471,California,9163.91,No,Extended,High School or Below,0011-01-13,Unemployed,F,,Suburban,Single,126,3,95,0,9,Personal Auto,Personal L3,2,Branch,1154.71,Two-Door Car,Medsize,,Medium,None,0,1
SK98708,Oregon,5494.2,No,Premium,College,0011-01-13,Unemployed,F,,Suburban,Single,158,0,57,0,1,Corporate Auto,Corporate L3,2,Branch,823.23,Four-Door Car,Medsize,,Medium,None,0,1
QA78691,Nevada,22123.93,No,Basic,Bachelor,0011-01-13,Unemployed,F,,Suburban,Single,92,7,5,1,2,Personal Auto,Personal L2,2,Call Center,652.83,Four-Door Car,Large,,Medium,Low,2,1
RA87395,California,11280.84,No,Basic,Bachelor,0011-01-13,Unemployed,M,,Rural,Married,159,34,39,0,7,Personal Auto,Personal L3,1,Agent,206.79,SUV,Medsize,,Low,None,0,1
